,105,106,107,108,109
新北市,3979208,3986689,3995717,4018696,4030954
臺北市,2695704,2683257,2668572,2645041,2602418
基隆市,372100,371458,370155,368893,367577
宜蘭縣,457538,456607,455221,454178,453087
金門縣,135114,137456,139273,140185,140597
連江縣,12595,12880,13056,13089,13279
桃園市,2147763,2188017,2220872,2249037,2268807
新竹市,437337,441132,445635,448803,451412
新竹縣,547481,552169,557010,563933,570775
苗栗縣,559189,553807,548863,545459,542590
臺中市,2767239,2787070,2803894,2815261,2820787
彰化縣,1287146,1282458,1277824,1272802,1266670
南投縣,505163,501051,497031,494112,490832
臺南市,1886033,1886522,1883831,1880906,1874917
嘉義市,269874,269398,268622,267690,266005
雲林縣,694873,690373,686022,681306,676873
嘉義縣,515320,511182,507068,503113,499481
高雄市,2779371,2776912,2773533,2773198,2765932
屏東縣,835792,829939,825406,819184,812658
澎湖縣,103263,104073,104440,105207,105952
花蓮縣,330911,329237,327968,326247,324372
臺東縣,220802,219540,218919,216781,215261
